restaurantName,address,city,postalCode,country,priceRange,cuisineType,description,facilitiesServices,creditCards,phoneNumber,website,region,lat,lon
Ape Vino e Cucina,Piazza Risorgimento 3,Alba,12051,Italy,€€,"Piedmontese,Contemporary","This attractive restaurant in the heart of Alba, the gastronomic capital of the Langhe, is home to chef Damiano Nigro who has previous experience in Michelin-starred restaurants in the area. The restaurant serves aperitif snacks, tapas and top-quality cocktails alongside its delicious, generously portioned meals which, as you might expect in Piedmont, have a traditional flavour. The pasta, bread, desserts and ice-cream are all homemade, while on our last visit in the summer we particularly enjoyed the maccheroncini with scampi and peppers, and the exquisite Fassona beef with a red-wine sauce and seasonal vegetables. Booked ahead is recommended.","['Air conditioning', 'Terrace', 'Wheelchair access']","['Amex', 'Dinersclub', 'Maestrocard', 'Mastercard', 'Visa']",+39 0173 363453,https://www.apewinebar.it/alba/,Piedmont,44.7010636,8.035865
Charleston,via Generale Magliocco 19,Palermo,90141,Italy,€€€€,"ModernCuisine,Creative","Before it became famous in Mondello, the renowned Charleston started out here in the centre of Palermo – and it has now returned to its origins, occupying the former Mazzara bar, itself once a favourite with locals. The ground floor is home to a café, cocktail bar and bistro, while the contemporary, Sicilian-style restaurant with an elegant summer terrace occupies the first floor (lift available). Here, young chef Gaetano Verde demonstrates all the skills acquired during his time working at renowned restaurants elsewhere in Italy and further afield. His dishes are clear and precise and often prepared using only three main ingredients – a good example is his grilled beef dish which is served with fermented grapes and sesame cream.","['Air conditioning', 'Counter dining', 'Terrace', 'Wheelchair access']","['Amex', 'Mastercard', 'Visa']",+39 091 450171,https://casacharleston.net/,Sicily,38.1149587,13.3622199
Da Bob Cook Fish,largo Parsano vecchio 16,Sorrento,80067,Italy,€€,Seafood,"Working in partnership with the nearby fishmongers which supplies it with fresh fish and seafood, this restaurant occupies a building once used for storing oranges that dates back 400 years. Although there is a menu, given the restaurant’s close relationship with the fishmongers we recommend asking the serving staff about the catch of the day and taking a look in the glass cabinet where the fish are displayed. Dishes are classic and traditional, allowing the full flavour of the fresh fish to shine through.","['Air conditioning', 'Terrace']","['Amex', 'Dinersclub', 'Mastercard', 'Visa']",+39 081 1778 3873,https://www.dabobcookfish.com/,Campania,40.62711,14.3751883
DA_MÓ,Via Bruno Buozzi 20,Matera,75100,Italy,€€,"RegionalCuisine,Contemporary","This new, restored restaurant in the upper part of the Sassi (yet still near the centre of Matera and its car parks) has a warm friendly ambience and boasts a small, charming outdoor space. Here, an entire family (father in the kitchen, mother and daughter front of house), who moved to Matera from Venosa (home of the Latin poet Horatio), serves regional cuisine with a contemporary twist and no little skill and professionalism. Various tasting menus are available, as well as an à la carte. An interesting wine list completes the picture.","['Air conditioning', 'Terrace']","['Amex', 'Dinersclub', 'Mastercard', 'Visa']",+39 0835 686548,https://www.damoristorante.it/,Basilicata,40.6665696,16.6003782
Dama,"Via Mulino, località San Gaudenzio",Cervesina,27050,Italy,€€€,ModernCuisine,"Situated just a few kilometres from Voghera in the Bassa Lomellina area, this gourmet restaurant run by a young chef occupies the old stables of the Castello di San Gaudenzio. Alongside local specialities such as baked onion and 24-month-old Grana Padano cheese, the menu also features more creative dishes based around authentic recipes. The wine list includes some particularly interesting labels from the Oltrepò region.","['Garden or park', 'Wheelchair access']","['Amex', 'Mastercard', 'Visa']",+39 0383 3331,https://www.hcsg.it/ristorante/,Lombardy,45.0626624,9.0160583
Il Tirabusciò,via Rosa Scoti 12,Bibbiena,52011,Italy,€€,Tuscan,This restaurant in the heart of the old town is a must for anyone keen to try the cuisine of the Casentino region. The friendly chef is more than happy to provide information on his ingredients and to offer recommendations – the strong flavours in evidence and his delicious cuisine are sure to leave a lasting memory.,['Air conditioning'],"['Amex', 'Mastercard', 'Visa']",+39 0575 595474,https://www.tirabuscio.it/,Tuscany,43.6943753,11.8182009
La Buca,corso Garibaldi 45,Cesenatico,47042,Italy,€€€,"Seafood,Contemporary","Choose one of the tables on the outdoor summer terrace (right over the water!) at this restaurant in order to best appreciate its location overlooking the picturesque canal port and its period houses. The indoor dining room is also attractive, with its open-view kitchen and a modern and elegant feel, while the menu focuses almost exclusively on fish, most of which is sourced from local fishermen. Enjoy a wide selection of raw antipasti to start (some simple in their preparation, while others are more elaborate), then choose from an array of beautifully presented, modern dishes, perhaps accompanied by one of the many champagnes included on the wine list.","['Air conditioning', 'Terrace', 'Wheelchair access']","['Amex', 'Maestrocard', 'Mastercard', 'Visa']",+39 0547 675649,https://www.labucaristorante.com/,Emilia-Romagna,44.1996722,12.3953116
La Trattoria Enrico Bartolini,Località Badiola,Castiglione della Pescaia,58043,Italy,€€€€,"MediterraneanCuisine,Grills","After a majestic picture-postcard approach via a long avenue lined with cypress trees and maritime pines, passing vineyards and Maremma cattle along the way, you finally arrive at this restaurant which serves trattoria-style cuisine full of intense, familiar and reassuring flavours. The decor here is elegant with the occasional rustic touch, while the service is of the highest level yet pleasantly friendly and informal. Welcome to Bartolini’s Maremma restaurant! Here, resident chef Bruno De Moura Cossio offers a choice of dishes with one common denominator, namely charcoal grilling. All the dishes served here have been grilled in some way, so that they have a distinctive barbecued flavour. However, although the chef’s Brazilian origins are obvious in many different ways, the ingredients are resolutely local, some even from the restaurant’s own farm. The friendly service makes guests feel completely at home, while the excellent wine selection is an added attraction – those produced on the estate itself are highly recommended.","['Air conditioning', 'Car park', 'Garden or park', 'Interesting wine list', 'Terrace']","['Amex', 'Mastercard', 'Visa']",+39 0564 944322,https://www.enricobartolini.net/ristorante-la-trattoria-castiglione,Tuscany,42.7725001,10.8908703
LoRo,via Bruse 2,Trescore Balneario,24069,Italy,€€€,Creative,"The cuisine served at LoRo is imaginative both in its presentation and its ingredients, which are combined in light, original and healthy (in the best sense of the word) dishes. The focus here is on fish and seafood, especially in the antipasti and primi courses, while all the dishes are listed with imaginative names on the menu. Chef Pierantonio Rocchetti reinterprets classic Italian favourites with flair and imagination, serving generous portions that do not skimp on flavour and taking guests on a delicious culinary journey that culminates in his excellent desserts. The restaurant’s “Sala Lab” is home to a large designer-style table that can be transformed to accommodate different numbers of guests, allowing the chef to prepare his dishes directly at the table in an ambience which is friendly and convivial while still maintaining an elegant feel.","['Air conditioning', 'Car park']","['Amex', 'Maestrocard', 'Mastercard', 'Visa']",+39 347 761 4728,http://www.loroandco.com,Lombardy,45.6937433,9.842507
Ménage,Via Euplio Reina 13,Catania,95121,Italy,€€,"Sicilian,Contemporary","Situated in the heart of the city near the Teatro Bellini and Piazza Università, this restaurant occupies an Art Nouveau-style building. Here, a trio of experienced young chefs from Catania have brought new life to the old “Da Turi Finocchiaro” restaurant, which has always been very popular with the city’s high society. Offering a small outdoor space near the entrance, the quiet, intimate dining room on the ground floor provides the backdrop for reinterpreted, contemporary Sicilian cuisine with an exclusive focus on meat (especially barbecued dishes which are the restaurant’s trademark), while the first floor is home to a cocktail bar run with passion by one of the partners. Two frescoes painted by Giuseppe Barone in 1930 add to the appeal.","['Air conditioning', 'Terrace', 'Wheelchair access']","['Amex', 'Dinersclub', 'Mastercard', 'Visa']",+39 095 0927 2933,https://www.menagelounge.it/,Sicily,37.5029702,15.086964
